2025-06-20 02:36:29.980874, 127.0.0.1, /api/data
2025-06-20 02:36:30.009154, 127.0.0.1, /api/data
2025-06-20 02:39:22.541553, 127.0.0.1, /api/data
2025-06-20 02:39:22.647819, 127.0.0.1, /api/data
2025-06-20 02:41:51.302221, 127.0.0.1, /api/data
2025-06-20 02:41:51.465489, 127.0.0.1, /api/data
2025-06-20 02:43:09.089525, 127.0.0.1, /api/data
2025-06-20 02:43:09.269772, 127.0.0.1, /api/data
2025-06-20 02:45:18.787057, 127.0.0.1, /api/data
2025-06-20 02:47:14.790975, 127.0.0.1, /api/data
2025-06-20 02:48:17.036745, 채채, 127.0.0.1, /api/data
2025-06-20 02:48:24.374432, 채채, 127.0.0.1, /api/data
2025-06-20 02:48:24.497358, 채채, 127.0.0.1, /api/data
2025-06-20 02:48:42.838254, 채채, 127.0.0.1, /api/data
2025-06-20 02:48:42.934524, 채채, 127.0.0.1, /api/data
2025-06-20 02:57:58.246435, 채채, 127.0.0.1, /api/data
2025-06-20 02:57:58.344020, 채채, 127.0.0.1, /api/data
2025-06-20 02:58:06.041558, 채채, 127.0.0.1, /api/data
2025-06-20 02:58:06.159294, 채채, 127.0.0.1, /api/data
2025-06-20 03:04:53.814223, 채채, 127.0.0.1, /api/data
2025-06-20 03:14:55.572316, 채채, 127.0.0.1, /api/data
2025-06-20 03:14:55.685788, 채채, 127.0.0.1, /api/data
2025-06-20 08:56:39.891862, 채채, 127.0.0.1, /api/data
2025-06-20 08:56:40.018932, 채채, 127.0.0.1, /api/data
2025-06-20 09:04:37.399211, 채채, 127.0.0.1, /api/data
2025-06-20 09:04:37.467475, 채채, 127.0.0.1, /api/data
2025-06-20 09:05:00.308944, 채채, 127.0.0.1, /api/data
2025-06-20 09:05:00.397182, 채채, 127.0.0.1, /api/data
2025-06-20 09:05:52.968191, 채채, 127.0.0.1, /api/data
2025-06-20 09:05:53.042495, 채채, 127.0.0.1, /api/data
2025-06-20 09:06:39.393802, 채채, 127.0.0.1, /api/data
2025-06-20 09:06:39.470775, 채채, 127.0.0.1, /api/data
2025-06-20 09:07:39.472016, 채채, 127.0.0.1, /api/data
2025-06-20 09:07:39.555622, 채채, 127.0.0.1, /api/data
2025-06-20 09:08:15.730328, 채채, 127.0.0.1, /api/data
2025-06-20 09:08:15.806198, 채채, 127.0.0.1, /api/data
2025-06-20 09:08:31.204914, 채채, 127.0.0.1, /api/data
2025-06-20 09:08:31.317397, 채채, 127.0.0.1, /api/data
2025-06-20 09:10:31.823426, 채채, 127.0.0.1, /api/data
2025-06-20 09:10:31.892771, 채채, 127.0.0.1, /api/data
2025-06-20 09:10:49.565805, 채채, 127.0.0.1, /api/data
2025-06-20 09:10:49.638676, 채채, 127.0.0.1, /api/data
2025-06-20 09:16:06.576415, 채채, 127.0.0.1, /api/data
2025-06-20 09:16:06.655059, 채채, 127.0.0.1, /api/data
2025-06-20 09:23:54.340716, 채채, 127.0.0.1, /api/data
2025-06-20 09:23:54.417468, 채채, 127.0.0.1, /api/data
2025-06-20 09:31:24.106175, 채채, 127.0.0.1, /api/data
2025-06-20 09:36:01.278477, 채채, 127.0.0.1, /api/data
2025-06-20 09:36:01.420052, 채채, 127.0.0.1, /api/data
2025-06-20 09:38:03.752713, 채채, 127.0.0.1, /api/data
2025-06-20 09:38:03.829242, 채채, 127.0.0.1, /api/data
2025-06-20 09:39:21.343591, 채채, 127.0.0.1, /api/data
2025-06-20 09:39:21.452933, 채채, 127.0.0.1, /api/data
2025-06-20 09:39:36.001600, 채채, 127.0.0.1, /api/data
2025-06-20 09:39:36.160741, 채채, 127.0.0.1, /api/data
2025-06-21 04:27:04.942299, 채채, 127.0.0.1, /api/data
2025-06-21 04:27:05.037928, 채채, 127.0.0.1, /api/data
2025-06-21 04:28:10.885491, 채채, 127.0.0.1, /api/data
2025-06-21 04:28:11.075612, 채채, 127.0.0.1, /api/data
2025-07-02 00:17:20.294990, 127.0.0.1, /api/data
