PRCE_REG_YMD,PDLT_CODE,PDLT_NM,AMNT_RAIN,AVG_TEMP_C,total_SunL,Quantity,PDLT_PRCE
20200401,151,고구마,0,11.3,19.12,147648,3350
20200401,152,감자,0,11.3,19.12,358141,1275
20200401,211,배추,0,11.3,19.12,388962.3,800
20200401,214,상추,0,11.3,19.12,114428,2187.5
20200401,223,오이,0,11.3,19.12,436917,392.5
20200401,224,호박,0,11.3,19.12,250212,787.5
20200401,225,토마토,0,11.3,19.12,128383.7,3950
20200401,245,양파,0,11.3,19.12,815916,1150
20200401,232,당근,0,11.3,19.12,211140,2650
20200401,411,사과,0,11.3,19.12,148224,3300
20200402,223,오이,0,9.3,21.25,415570,377.5
20200402,214,상추,0,9.3,21.25,112144,2062.5
20200402,211,배추,0,9.3,21.25,367817.75,900
20200402,152,감자,0,9.3,21.25,293374,1175
20200402,151,고구마,0,9.3,21.25,114426,3350
20200402,225,토마토,0,9.3,21.25,110769.3,3750
20200402,245,양파,0,9.3,21.25,904270,1112.5
20200402,232,당근,0,9.3,21.25,181603,2583.333333
20200402,224,호박,0,9.3,21.25,272573,787.5
20200402,411,사과,0,9.3,21.25,130020,3500
20200403,223,오이,0,10,22.56,445168,402.5
20200403,214,상추,0,10,22.56,107012,2062.5
20200403,152,감자,0,10,22.56,392708,1175
20200403,151,고구마,0,10,22.56,150176,3350
20200403,211,배추,0,10,22.56,349383.25,800
20200403,224,호박,0,10,22.56,286644,762.5
20200403,245,양파,0,10,22.56,681290,1112.5
20200403,232,당근,0,10,22.56,188870,2483.333333
20200403,225,토마토,0,10,22.56,175185.1,4250
20200403,411,사과,0,10,22.56,211040,3100
20200406,223,오이,0,9.3,22.51,827346,347.5
20200406,214,상추,0,9.3,22.51,139014,2562.5
20200406,152,감자,0,9.3,22.51,394594,1175
20200406,211,배추,0,9.3,22.51,430088.1,800
20200406,151,고구마,0,9.3,22.51,185903.2,3350
20200406,225,토마토,0,9.3,22.51,201276.8,4550
20200406,245,양파,0,9.3,22.51,1048405,1125
20200406,232,당근,0,9.3,22.51,200270,2250
20200406,224,호박,0,9.3,22.51,397858,737.5
20200406,411,사과,0,9.3,22.51,229682,3500
20200407,214,상추,0,10.6,19.3,129880,2437.5
20200407,211,배추,0,10.6,19.3,405077,800
20200407,152,감자,0,10.6,19.3,356574,1075
20200407,151,고구마,0,10.6,19.3,162692,3350
20200407,223,오이,0,10.6,19.3,469948,347.5
20200407,224,호박,0,10.6,19.3,335192,737.5
20200407,245,양파,0,10.6,19.3,1003130,1250
20200407,232,당근,0,10.6,19.3,137510,2116.666667
20200407,225,토마토,0,10.6,19.3,144791.8,3750
20200407,411,사과,0,10.6,19.3,175861,3000
20200408,214,상추,0,9.4,24.86,126232,2187.5
20200408,211,배추,0,9.4,24.86,351189.15,800
20200408,152,감자,0,9.4,24.86,381780,1025
20200408,151,고구마,0,9.4,24.86,133496,3550
20200408,223,오이,0,9.4,24.86,554607,337.5
20200408,224,호박,0,9.4,24.86,331452,687.5
20200408,245,양파,0,9.4,24.86,1124338,1250
20200408,232,당근,0,9.4,24.86,235340,2283.333333
20200408,225,토마토,0,9.4,24.86,163671,3950
20200408,411,사과,0,9.4,24.86,198271,3000
20200409,214,상추,0,8.9,24.79,119398,2062.5
20200409,223,오이,0,8.9,24.79,518251.5,317.5
20200409,152,감자,0,8.9,24.79,366254,2625
20200409,151,고구마,0,8.9,24.79,128918,3550
20200409,211,배추,0,8.9,24.79,429003.5,800
20200409,224,호박,0,8.9,24.79,277582,662.5
20200409,245,양파,0,8.9,24.79,1040767,1200
20200409,232,당근,0,8.9,24.79,170479,2283.333333
20200409,225,토마토,0,8.9,24.79,115583,3250
20200409,411,사과,0,8.9,24.79,295612.5,3000
20200410,223,오이,0,10.7,21.07,568323,317.5
20200410,214,상추,0,10.7,21.07,121358,2062.5
20200410,211,배추,0,10.7,21.07,387575.25,800
20200410,152,감자,0,10.7,21.07,324670,2625
20200410,151,고구마,0,10.7,21.07,134106,3550
20200410,225,토마토,0,10.7,21.07,205721.4,4050
20200410,245,양파,0,10.7,21.07,917015,1175
20200410,232,당근,0,10.7,21.07,178120,2283.333333
20200410,224,호박,0,10.7,21.07,286296,662.5
20200410,411,사과,0,10.7,21.07,232354,3000
20200413,223,오이,0,12.4,26.02,1028680,302.5
20200413,214,상추,0,12.4,26.02,148804,2562.5
20200413,152,감자,0,12.4,26.02,492695,2575
20200413,151,고구마,0,12.4,26.02,177330.4,3750
20200413,211,배추,0,12.4,26.02,413311,800
20200413,224,호박,0,12.4,26.02,445172,662.5
20200413,245,양파,0,12.4,26.02,838242,1150
20200413,232,당근,0,12.4,26.02,212720,2216.666667
20200413,225,토마토,0,12.4,26.02,234548.5,3750
20200413,411,사과,0,12.4,26.02,237413,3000
20200414,214,상추,0,13,25.93,126606,2562.5
20200414,151,고구마,0,13,25.93,151134,3750
20200414,152,감자,0,13,25.93,365693,2525
20200414,223,오이,0,13,25.93,593354,307.5
20200414,211,배추,0,13,25.93,381581,900
20200414,224,호박,0,13,25.93,366278,662.5
20200414,245,양파,0,13,25.93,1000745,1100
20200414,232,당근,0,13,25.93,163740,2116.666667
20200414,225,토마토,0,13,25.93,141874.2,3750
20200414,411,사과,0,13,25.93,139260,2800
20200416,214,상추,0,16,22.96,118394,2312.5
20200416,152,감자,0,16,22.96,299410,2525
20200416,151,고구마,0,16,22.96,107658,4050
20200416,224,호박,0,16,22.96,266858,737.5
20200416,223,오이,0,16,22.96,554990.5,322.5
20200416,245,양파,0,16,22.96,1153236,1100
20200416,232,당근,0,16,22.96,146579,2183.333333
20200416,225,토마토,0,16,22.96,119082.3,3650
20200416,211,배추,0,16,22.96,300438.85,900
20200416,411,사과,0,16,22.96,152366,4300
20200417,214,상추,6.5,12.5,4.23,111764,2312.5
20200417,151,고구마,6.5,12.5,4.23,158850,4250
20200417,152,감자,6.5,12.5,4.23,308730,2475
20200417,211,배추,6.5,12.5,4.23,368797,900
20200417,223,오이,6.5,12.5,4.23,517007,312.5
20200417,245,양파,6.5,12.5,4.23,748492,1150
20200417,225,토마토,6.5,12.5,4.23,147683.5,3850
20200417,224,호박,6.5,12.5,4.23,230719,712.5
20200417,232,당근,6.5,12.5,4.23,143100,2183.333333
20200417,411,사과,6.5,12.5,4.23,114906,4400
20200420,214,상추,0.1,10,7.34,173213.5,2187.5
20200420,152,감자,0.1,10,7.34,378938,2475
20200420,151,고구마,0.1,10,7.34,164126,4350
20200420,223,오이,0.1,10,7.34,1136674,262.5
20200420,224,호박,0.1,10,7.34,472096,662.5
20200420,245,양파,0.1,10,7.34,983935,1250
20200420,232,당근,0.1,10,7.34,225360,2183.333333
20200420,225,토마토,0.1,10,7.34,201267.5,3250
20200420,211,배추,0.1,10,7.34,374617.2,900
20200420,411,사과,0.1,10,7.34,203474,4050
20200421,214,상추,0,7.4,23.63,146192,2187.5
20200421,151,고구마,0,7.4,23.63,161860,4350
20200421,223,오이,0,7.4,23.63,585885,277.5
20200421,152,감자,0,7.4,23.63,283566,2525
20200421,224,호박,0,7.4,23.63,332424,612.5
20200421,245,양파,0,7.4,23.63,862001,1250
20200421,232,당근,0,7.4,23.63,154100,2150
20200421,225,토마토,0,7.4,23.63,134267.4,3250
20200421,211,배추,0,7.4,23.63,298220.8,900
20200421,411,사과,0,7.4,23.63,125926,4150
20200422,214,상추,0,6,15.89,130530,2062.5
20200422,151,고구마,0,6,15.89,115270,4350
20200422,211,배추,0,6,15.89,340306.5,1000
20200422,245,양파,0,6,15.89,1167358,1150
20200422,223,오이,0,6,15.89,539456,277.5
20200422,232,당근,0,6,15.89,227142,2150
20200422,225,토마토,0,6,15.89,138141.2,2950
20200422,224,호박,0,6,15.89,297776,662.5
20200422,152,감자,0,6,15.89,380019,2525
20200422,411,사과,0,6,15.89,148445,4150
20200423,214,상추,0,7.9,25.72,122228,1687.5
20200423,211,배추,0,7.9,25.72,358988.65,1100
20200423,151,고구마,0,7.9,25.72,117724,4350
20200423,223,오이,0,7.9,25.72,488240.5,307.5
20200423,245,양파,0,7.9,25.72,1132545,1050
20200423,232,당근,0,7.9,25.72,221759,2150
20200423,225,토마토,0,7.9,25.72,104672.5,2850
20200423,224,호박,0,7.9,25.72,257912,687.5
20200423,152,감자,0,7.9,25.72,336565,2625
20200423,411,사과,0,7.9,25.72,140136,4150
20200424,214,상추,0,9.9,26.61,111980,1937.5
20200424,152,감자,0,9.9,26.61,333802,2625
20200424,211,배추,0,9.9,26.61,331797,1200
20200424,151,고구마,0,9.9,26.61,120614,4350
20200424,223,오이,0,9.9,26.61,440992,292.5
20200424,224,호박,0,9.9,26.61,241636,787.5
20200424,245,양파,0,9.9,26.61,919225,1050
20200424,232,당근,0,9.9,26.61,152620,2150
20200424,225,토마토,0,9.9,26.61,189306.9,2850
20200424,411,사과,0,9.9,26.61,154835,4150
20200427,214,상추,0,12.9,22.98,130174,2187.5
20200427,211,배추,0,12.9,22.98,415587.75,1200
20200427,151,고구마,0,12.9,22.98,119461,4350
20200427,152,감자,0,12.9,22.98,477781,2625
20200427,224,호박,0,12.9,22.98,509122,637.5
20200427,245,양파,0,12.9,22.98,1095230,1050
20200427,223,오이,0,12.9,22.98,975560,277.5
20200427,232,당근,0,12.9,22.98,212060,2150
20200427,225,토마토,0,12.9,22.98,255593.5,2350
20200427,411,사과,0,12.9,22.98,177535,4150
20200428,214,상추,0,13.9,26.97,115806,2312.5
20200428,211,배추,0,13.9,26.97,368221.9,1400
20200428,151,고구마,0,13.9,26.97,95744,4550
20200428,223,오이,0,13.9,26.97,618380,327.5
20200428,245,양파,0,13.9,26.97,1192220,1000
20200428,232,당근,0,13.9,26.97,276223.2,2116.666667
20200428,225,토마토,0,13.9,26.97,172814,2500
20200428,224,호박,0,13.9,26.97,399247,612.5
20200428,152,감자,0,13.9,26.97,288964,2775
20200428,411,사과,0,13.9,26.97,154990,4200
20200429,214,상추,0,14.9,26.1,120690,2562.5
20200429,152,감자,0,14.9,26.1,382078,2775
20200429,211,배추,0,14.9,26.1,420720.5,1500
20200429,151,고구마,0,14.9,26.1,94005.6,4950
20200429,223,오이,0,14.9,26.1,691084,307.5
20200429,224,호박,0,14.9,26.1,369686,612.5
20200429,245,양파,0,14.9,26.1,1190225,950
20200429,232,당근,0,14.9,26.1,158421.2,2116.666667
20200429,225,토마토,0,14.9,26.1,181347.7,2450
20200429,411,사과,0,14.9,26.1,203882,4000
20200504,214,상추,0,20.2,25.42,169294,2562.5
20200504,211,배추,0,20.2,25.42,420655.5,1700
20200504,151,고구마,0,20.2,25.42,95714,4950
20200504,152,감자,0,20.2,25.42,364661,2575
20200504,224,호박,0,20.2,25.42,505256,487.5
20200504,223,오이,0,20.2,25.42,1446724,227.5
20200504,245,양파,0,20.2,25.42,1110572,1050
20200504,232,당근,0,20.2,25.42,223622,1983.333333
20200504,225,토마토,0,20.2,25.42,291346.8,2250
20200504,411,사과,0,20.2,25.42,180103,4000
20200506,214,상추,0,19.4,28.51,118672,2187.5
20200506,211,배추,0,19.4,28.51,378399.6,1387.5
20200506,152,감자,0,19.4,28.51,328612.2,2775
20200506,151,고구마,0,19.4,28.51,90632,4950
20200506,223,오이,0,19.4,28.51,756564,217.5
20200506,224,호박,0,19.4,28.51,290270,537.5
20200506,245,양파,0,19.4,28.51,839214,950
20200506,232,당근,0,19.4,28.51,230030,1850
20200506,225,토마토,0,19.4,28.51,215622.9,2250
20200506,411,사과,0,19.4,28.51,112940,4300
20200507,214,상추,0,20.7,23.93,115532,2187.5
20200507,152,감자,0,20.7,23.93,340792,2775
20200507,151,고구마,0,20.7,23.93,63621,4750
20200507,223,오이,0,20.7,23.93,660948.5,212.5
20200507,211,배추,0,20.7,23.93,399642.7,1287.5
20200507,224,호박,0,20.7,23.93,229696,587.5
20200507,245,양파,0,20.7,23.93,999537,950
20200507,232,당근,0,20.7,23.93,188779,1850
20200507,225,토마토,0,20.7,23.93,191129.5,2050
20200507,411,사과,0,20.7,23.93,127594,4500
